company_name,pt_seafood_database_id,country_hq,main_segment,seg_feed,seg_fishing,seg_aquaculture,seg_processing,seg_wholesale,seg_retail,seg_foodservice,description,website,species_disclosure,revenue_usd_mn,market_cap_usd_mn,ebit_margin,return_on_equity,sustainability_assessment_cat1_transparency_score,sustainability_assessment_cat2_ocean_health_score,sustainability_assessment_cat3_management_governance_score,sustainability_assessment_cat4_fishing_practices_score,sustainability_assessment_cat5_compliance_enforcement_score,sustainability_assessment_cat6_stock_sustainability_score,reporting_precision,n_distinct_countries,n_distinct_species,species_clean,regions,enterprise_value_usd_mn,net_debt_ebitda
ESPERSEN,ID_1,Denmark,Processing,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Espersen is a Denmark-based company specializing in processing frozen fish products, including fish blocks, fillets, special cuts, and breaded items, operating production facilities across Denmark, Lithuania, Poland, and Vietnam.",https://www.espersen.com/,Planet Tracker found species disclosure for part of the seafood portfolio of this company,,,,,3,3,3,2,2,3,0.4279929007320098,1,26,"Alaska Pollock, Atlantic Cod, Cichlidae, Dab, Flounder, Gadus Morhua, Greenland Halibut, Haddock, Keta Salmon, Lobster, Macruronus Novaezelandiae, Melanogrammus Aeglefinus, Pacific Cod, Pangasius, Pink Salmon, Plaice, Pollachius Pollachius, Pollachius Virens, Prawn, Rock Sole, Saithe, Salmon, Tilapia, Yellowfin Sole, Yellowtail Flounder","Denmark, Poland, United Kingdom, Vietnam",,0.06551646049763636
ASIAN SEA CORP PUBLIC CO LTD,ID_10,Thailand,Wholesale/Distribution,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Asian Sea Corporation Public Company Limited is a Thailand-based producer and exporter of processed frozen seafood. Its operations are structured into Frozen Food, Petfood, Tuna, Feed, and Distribution segments.",http://www.asianseafoods.co.th,Planet Tracker found species disclosure for part of the seafood portfolio of this company,305.4272581,53.94198295,10.86208987,13.31722153,1,2,2,1,2,1,0.560749230940177,3,10,"Black Tiger Shrimp, Catfish, Crab, Frog, Sea Bass, Shrimp, Sillago, Squid, Tuna, White Shrimp",China; Germany; Thailand,206.14891491727178,-0.5272951852290239
HUBEI FISHERIES GROUP CO LTD,ID_100,China,Fishing,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Hubei Fisheries Group Co., Ltd. is a China-based company focused on the fisheries sector, with business segments encompassing large-scale water surface fishery enhancement, aquatic seed cultivation, processing of aquatic products, trade of aquatic products, and facility-based fishery operations.",http://www.hbshuichan.cn,Planet Tracker found species disclosure for part of the seafood portfolio of this company,,,,,1,0,1,0,0,1,0.7079948210735725,6,6,"Crabs, Megalobrama Amblycephala, Monopterus Albus, Procambarus Clarkii, Shellfish","Danjiangkou Reservoir, Hubei Province, China; Ezhou, Hubei Province, China; Liangzi Lake, Hubei Province, China; Qianjiang, Hubei Province, China; Wenxia Reservoir, Hubei Province, China; Xiantao, Hubei Province, China",,
HUNG VUONG,ID_101,Viet Nam,Processing,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"Hunh Vuong is a Vietnamese company established in 2003, focused on aquaculture (pangasius), processing, and exporting aquatic products. The company is vertically integrated, also manufacturing feed for aquaculture and livestock, and involved in cold storage trading, with exports reaching 80 countries globally.",https://www.hungvuongpanga.com,Planet Tracker found species disclosure for part of the seafood portfolio of this company,,,,,1,1,1,0,1,1,0.6153685887336142,2,4,"Pangasius, Pangasius Hypophthalmus, Shrimp","80 Countries Including Europe, Brazil, Mexico, Australia, The Usa, Middle East And Asian Countries; Vietnam",,
IBÉRICA DE CONGELADOS SA,ID_102,Spain,Integrated,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Iberica de Congelados SA is a seafood company specializing in the wholesale distribution of fresh, cured, and frozen fish.",http://www.iberconsa.es,Planet Tracker found species disclosure for part of the seafood portfolio of this company,,,,,1,2,2,1,2,2,0.7122963898960881,4,34,"Argentinean Hake, Argentinean Red Shrimp, Argentinean Redfish, Argentinean Shrimp, Austral Hake, Blue Shark, Cape Hake, Cod, Crab, Greenland Halibut, Grenadier, Hake, Illex Argentinus, Jumbo Shrimp, Kingklip, Lobster, Lophius Vomerinus, Merluccius Capensis, Merluccius Hubbsi, Monkfish, Mussel, Namibian Hake, Notothenia, Pleoticus Muelleri, Red Hake, Redfish, Salmon, Savorin, Southern Blue Whiting, Squid, Swordfish, Veneridae, White Clam",Argentina; Namibia; South Africa; Vietnam,,
KALDVIK AS,ID_103,Norway,Aquaculture,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Ice Fish Farm AS is a Norwegian company specializing in the aquaculture, breeding, farming, and processing of salmon.",,Planet Tracker found full species disclosure for the entire seafood portfolio of this company,116.5518113,49.2452578,-16.85069789,-10.80279471,2,2,2,0,1,2,0.5167642112221008,1,4,"Salmo Salar, Salmon, Smolt, Trout","East Fjords, Iceland",502.4772529849257,-23.536433229373404
ICE FRESH SEAFOOD EHF,ID_104,Iceland,Integrated,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"ICE Fresh Seafood is a vertically integrated company involved in the fishing, aquaculture, processing, and distribution of seafood products.",http://www.samherji.is,Planet Tracker found species disclosure for part of the seafood portfolio of this company,,,,,1,1,1,1,1,2,0.7879128471867939,4,21,"Arctic Char, Blue Whiting, Capelin, Clupea Harengus, Cod, Gadus Morhua, Greenland Halibut, Haddock, Herring, Mackerel, Mallotus Villosus, Melanogrammus Aeglefinus, Pollachius Virens, Redfish, Saithe, Salmo Salar, Salmon, Salvelinus Alpinus, Scomber Scombrus","Iceland; Iceland (Specifically Reykjanes Peninsula, Núpar, Öxnalækur, Staður); Iceland (Specifically Reykjanes Peninsula, Öxarfjörður, Núpar, Núpsmýri); United Kingdom, France, Spain, United States",,-2.579415758756881
ICELAND SEAFOOD INTERNATIONAL HF,ID_105,Iceland,Processing,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Iceland Seafood is a global group focused on the sales, processing, and marketing of diverse seafood products, including fresh, frozen, salted, dried, and value-added varieties.",http://www.icelandseafood.is,Planet Tracker found species disclosure for part of the seafood portfolio of this company,479.4279251,54.57658526,3.297538915,3.717990347,2,1,2,1,2,2,0.6523331037598813,4,23,"Blue Whiting, Capelin, Cod, Gadus Morhua, Haddock, Halibut Plaice, Herring, Langoustine, Lumpfish, Mackerel, Monkfish, Norway Lobster, Octopodidae, Octopus, Perch, Pleoticus Muelleri, Redfish, Saithe, Salmo Salar, Salmon, Sea Urchin, Snow Crab, Wolffish",Argentina; Iceland; Ireland; Spain,225.82973421129245,5.480546775733908
ICELANDIC GROUP,ID_106,Iceland,Processing,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Icelandic Group is a global provider of fresh, chilled, and frozen seafood products and services, specializing in the value-added processing of seafood, primarily ready meals for the retail and foodservice sectors.",https://icelandic.is,Planet Tracker found species disclosure for part of the seafood portfolio of this company,,,,,1,2,2,1,2,2,0.9574338967610244,7,12,"Atlantic Cod, Atlantic Herring, Atlantic Mackerel, Greenland Halibut, Haddock, Icelandic Capelin, Lumpfish, Redfish, Saithe, Salmo Salar, Scampi, Silver Smelt",China; Greenland (Denmark); Iceland; Ireland; Japan; Norway; Spain,,
ICHIMASA KAMABOKO CO LTD,ID_107,Japan,Processing,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Ichimasa Kamaboko manufactures and sells primarily fish-paste products, in addition to mushroom-based items.",http://www.ichimasa.co.jp,Planet Tracker found full species disclosure for the entire seafood portfolio of this company,227.840728,46.7250441,3.587602384,6.81865483,1,2,2,1,1,1,0.9293204122212102,2,7,"Blue Shark, Brushtooth Lizardfish, Cutlassfish, Gadus Chalcogrammus, Golden Threadfin Bream, Nemipterus Virgatus, White Croaker",Indonesia; Usa,139.3446243444859,2.449050217193455
